1	Oxidoreductases
2.4.1.184	Galactolipid galactosyltransferase
2.4.1.185	Flavanone 7-O-beta-glucosyltransferase
2.4.1.186	Glycogenin glucosyltransferase
2.4.1.187	mannosaminyltransferase
2.4.1.188	N-acetylglucosaminyldiphosphoundecaprenol glucosyltransferase
2.4.1.189	Luteolin 7-O-glucuronosyltransferase
2.4.1.190	Luteolin-7-O-glucuronide 2''-O-glucuronosyltransferase
2.4.1.191	Luteolin-7-O-diglucuronide 4'-O-glucuronosyltransferase
2.4.1.192	Nuatigenin 3-beta-glucosyltransferase
2.4.1.193	Sarsapogenin 3-beta-glucosyltransferase
2.4.1.194	4-hydroxybenzoate 4-O-beta-D-glucosyltransferase
2.4.1.195	N-hydroxythioamide S-beta-glucosyltransferase
2.4.1.196	Nicotinate glucosyltransferase
2.4.1.197	High-mannose-oligosaccharide beta-1,4-N-acetylglucosaminyltransferase
2.4.1.198	Phosphatidylinositol N-acetylglucosaminyltransferase
2.4.1.199	6-mannosyltransferase
2.4.1.200	Transferred entry: 4.2.2.17
2.4.1.201	Alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
2.4.1.202	glucosyltransferase
2.4.1.203	Trans-zeatin O-beta-D-glucosyltransferase
2.4.1.204	Transferred entry: 2.4.2.40
2.4.1.205	Galactogen 6-beta-galactosyltransferase
2.4.1.206	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase
2.4.1.207	Xyloglucan:xyloglucosyl transferase
2.4.1.208	Diglucosyl diacylglycerol synthase (1,2-linking)
2.4.1.209	Cis-p-coumarate glucosyltransferase
2.4.1.210	Limonoid glucosyltransferase
2.4.1.211	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
2.4.1.212	Hyaluronan synthase
2.4.1.213	Glucosylglycerol-phosphate synthase
2.4.1.214	Glycoprotein 3-alpha-L-fucosyltransferase
2.4.1.215	Cis-zeatin O-beta-D-glucosyltransferase
2.4.1.216	Trehalose 6-phosphate phosphorylase
2.4.1.217	Mannosyl-3-phosphoglycerate synthase
2.4.1.218	Hydroquinone glucosyltransferase
2.4.1.219	Vomilenine glucosyltransferase
2.4.1.220	Indoxyl-UDPG glucosyltransferase
2.4.1.221	Peptide-O-fucosyltransferase
2.4.1.222	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
2.4.1.223	acetylglucosaminyltransferase
2.4.1.224	acetylglucosaminyltransferase
2.4.1.225	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase
2.4.1.226	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase
2.4.1.227	acetylglucosaminyltransferase
2.4.1.228	Lactosylceramide 4-alpha-galactosyltransferase
2.4.1.229	[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase
2.4.1.230	Kojibiose phosphorylase
2.4.1.231	Alpha,alpha-trehalose phosphorylase (configuration-retaining)
2.4.1.232	Initiation-specific alpha-1,6-mannosyltransferase
2.4.1.233	Transferred entry: 2.4.1.115
2.4.1.234	Kaempferol 3-O-galactosyltransferase
2.4.1.235	Deleted entry
2.4.1.236	Flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase
2.4.1.237	Flavonol 7-O-beta-glucosyltransferase
2.4.1.238	Delphinidin 3,5-di-O-glucoside 3'-O-glucosyltransferase
2.4.1.239	Flavonol-3-O-glucoside glucosyltransferase
2.4.1.240	Flavonol-3-O-glycoside glucosyltransferase
2.4.1.241	Digalactosyldiacylglycerol synthase
2.4.1.242	NDP-glucose--starch glucosyltransferase
2.4.1.243	6(G)-fructosyltransferase
2.4.1.244	acetylgalactosaminyltransferase
2.4.1.245	Alpha,alpha-trehalose synthase
2.4.1.246	Mannosylfructose-phosphate synthase
2.4.1.247	Beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase
2.4.1.248	Cycloisomaltooligosaccharide glucanotransferase
2.4.1.249	Delphinidin 3',5'-O-glucosyltransferase
2.4.1.250	D-inositol-3-phosphate glycosyltransferase
2.4.1.251	diphospho-ditrans,octacis-undecaprenol 4-beta-mannosyltransferase
2.4.1.252	GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
2.4.1.253	Baicalein 7-O-glucuronosyltransferase
2.4.1.254	Cyanidin-3-O-glucoside 2''-O-glucuronosyltransferase
2.4.1.255	Protein O-GlcNAc transferase
2.4.1.256	glucosyltransferase
2.4.1.257	GDP-Man:Man(2)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
2.4.1.258	Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
2.4.1.259	Dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
2.4.1.260	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
2.4.1.261	Dolichyl-P-Man:Man(8)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
2.4.1.262	Soyasapogenol glucuronosyltransferase
2.4.1.263	Abscisate beta-glucosyltransferase
2.4.1.264	2-beta-glucuronyltransferase
2.4.1.265	glucosyltransferase
2.4.1.266	Glucosyl-3-phosphoglycerate synthase
2.4.1.267	Dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
2.4.1.268	Glucosylglycerate synthase
2.4.1.269	Mannosylglycerate synthase
2.4.1.270	Mannosylglucosyl-3-phosphoglycerate synthase
2.4.1.271	Crocetin glucosyltransferase
2.4.1.272	Soyasapogenol B glucuronide galactosyltransferase
2.4.1.273	Soyasaponin III rhamnosyltransferase
2.4.1.274	Glucosylceramide beta-1,4-galactosyltransferase
2.4.1.275	Neolactotriaosylceramide beta-1,4-galactosyltransferase
2.4.1.276	Zeaxanthin glucosyltransferase
2.4.1.277	10-deoxymethynolide desosaminyltransferase
2.4.1.278	3-alpha-mycarosylerythronolide B desosaminyl transferase
2.4.1.279	Nigerose phosphorylase
2.4.1.280	N,N'-diacetylchitobiose phosphorylase
2.4.1.281	4-O-beta-D-mannosyl-D-glucose phosphorylase
2.4.1.282	3-O-alpha-D-glucosyl-L-rhamnose phosphorylase
2.4.1.283	2-deoxystreptamine N-acetyl-D-glucosaminyltransferase
2.4.1.284	2-deoxystreptamine glucosyltransferase
2.4.1.285	UDP-GlcNAc:ribostamycin N-acetylglucosaminyltransferase
2.4.1.286	Chalcone 4'-O-glucosyltransferase
2.4.1.287	galactofuranosyltransferase
2.4.1.288	decaprenol beta-1,5/1,6-galactofuranosyltransferase
2.4.1.289	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
2.4.1.290	acetylgalactosaminyltransferase
2.4.1.291	4-alpha-N-acetylgalactosaminyltransferase
2.4.1.292	1,4-N-acetyl-D-galactosaminyltransferase
2.4.1.293	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
2.4.1.294	Cyanidin 3-O-galactosyltransferase
2.4.1.295	Anthocyanin 3-O-sambubioside 5-O-glucosyltransferase
2.4.1.296	Anthocyanidin 3-O-coumaroylrutinoside 5-O-glucosyltransferase
2.4.1.297	Anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase
2.4.1.298	Anthocyanidin 3-O-glucoside 5-O-glucosyltransferase
2.4.1.299	Cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose)
2.4.1.300	Cyanidin 3-O-glucoside 7-O-glucosyltransferase (acyl-glucose)
2.4.1.301	2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase
2.4.1.302	L-demethylnoviosyl transferase
2.4.1.303	galactosyltransferase
2.4.1.304	galactosyltransferase
2.4.1.305	glucosyltransferase
2.4.1.306	acetylgalactosaminyltransferase
2.4.1.307	galactosyltransferase
2.4.1.308	diphosphoundecaprenol alpha-1,2-fucosyltransferase
2.4.1.309	diphosphoundecaprenol alpha-1,3-galactosyltransferase
2.4.1.310	Vancomycin aglycone glucosyltransferase
2.4.1.311	dTDP-epi-vancosaminyltransferase
2.4.1.312	Protein O-mannose beta-1,4-N-acetylglucosaminyltransferase
2.4.1.313	Protein O-mannose beta-1,3-N-acetylgalactosaminyltransferase
2.4.1.314	Ginsenoside Rd glucosyltransferase
2.4.1.315	Diglucosyl diacylglycerol synthase (1,6-linking)
2.4.1.316	Tylactone mycaminosyltransferase
2.4.1.317	O-mycaminosyltylonolide 6-deoxyallosyltransferase
2.4.1.318	Demethyllactenocin mycarosyltransferase
2.4.1.319	Beta-1,4-mannooligosaccharide phosphorylase
2.4.1.320	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase
2.4.1.321	Cellobionic acid phosphorylase
2.4.1.322	Devancosaminyl-vancomycin vancosaminetransferase
2.4.1.323	7-deoxyloganetic acid glucosyltransferase
2.4.1.324	7-deoxyloganetin glucosyltransferase
2.4.1.325	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
2.4.1.326	Aklavinone 7-L-rhodosaminyltransferase
2.4.1.327	Aclacinomycin-T 2-deoxy-L-fucose transferase
2.4.1.328	Erythronolide mycarosyltransferase
2.4.1.329	Sucrose 6(F)-phosphate phosphorylase
2.4.1.330	Beta-D-glucosyl crocetin beta-1,6-glucosyltransferase
2.4.1.331	8-demethyltetracenomycin C L-rhamnosyltransferase
2.4.1.332	1,2-alpha-glucosylglycerol phosphorylase
2.4.1.333	1,2-beta-oligoglucan phosphorylase
2.4.1.334	1,3-alpha-oligoglucan phosphorylase
2.4.1.335	diacetamido-2,3-dideoxy-beta-D-glucuronosyltransferase
2.4.1.336	Monoglucosyldiacylglycerol synthase
2.4.1.337	1,2-diacylglycerol 3-alpha-glucosyltransferase
2.4.2.1	Purine-nucleoside phosphorylase
2.4.2.2	Pyrimidine-nucleoside phosphorylase
2.4.2.3	Uridine phosphorylase
2.4.2.4	Thymidine phosphorylase
2.4.2.5	Nucleoside ribosyltransferase
2.4.2.6	Nucleoside deoxyribosyltransferase
2.4.2.7	Adenine phosphoribosyltransferase
2.4.2.8	Hypoxanthine phosphoribosyltransferase
2.4.2.9	Uracil phosphoribosyltransferase
2.4.2.10	Orotate phosphoribosyltransferase
2.4.2.11	Transferred entry: 6.3.4.21
2.4.2.12	Nicotinamide phosphoribosyltransferase
2.4.2.13	Transferred entry: 2.5.1.6
2.4.2.14	Amidophosphoribosyltransferase
2.4.2.15	Guanosine phosphorylase
2.4.2.16	Urate-ribonucleotide phosphorylase
2.4.2.17	ATP phosphoribosyltransferase
2.4.2.18	Anthranilate phosphoribosyltransferase
2.4.2.19	Nicotinate-nucleotide diphosphorylase (carboxylating)
2.4.2.20	Dioxotetrahydropyrimidine phosphoribosyltransferase
2.4.2.21	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
2.4.2.22	Xanthine phosphoribosyltransferase
2.4.2.23	Transferred entry: 2.4.2.2, 2.4.2.3 and 2.4.2.4
2.4.2.24	1,4-beta-D-xylan synthase
2.4.2.25	Flavone apiosyltransferase
2.4.2.26	Protein xylosyltransferase
2.4.2.27	dihydrostreptosyltransferase
2.4.2.28	S-methyl-5'-thioadenosine phosphorylase
2.4.2.29	tRNA-guanine(34) transglycosylase
2.4.2.30	NAD(+) ADP-ribosyltransferase
2.4.2.31	NAD(+)--protein-arginine ADP-ribosyltransferase
2.4.2.32	Dolichyl-phosphate D-xylosyltransferase
2.4.2.33	Dolichyl-xylosyl-phosphate--protein xylosyltransferase
2.4.2.34	Indolylacetylinositol arabinosyltransferase
2.4.2.35	Flavonol-3-O-glycoside xylosyltransferase
2.4.2.36	NAD(+)--diphthamide ADP-ribosyltransferase
2.4.2.37	NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase
2.4.2.38	Glycoprotein 2-beta-D-xylosyltransferase
2.4.2.39	Xyloglucan 6-xylosyltransferase
2.4.2.40	Zeatin O-beta-D-xylosyltransferase
2.4.2.41	Xylogalacturonan beta-1,3-xylosyltransferase
2.4.2.42	UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase
2.4.2.43	Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase
2.4.2.44	S-methyl-5'-thioinosine phosphorylase
2.4.2.45	Decaprenyl-phosphate phosphoribosyltransferase
2.4.2.46	Galactan 5-O-arabinofuranosyltransferase
2.4.2.47	Arabinofuranan 3-O-arabinosyltransferase
2.4.2.48	tRNA-guanine(15) transglycosylase
2.4.2.49	Neamine phosphoribosyltransferase
2.4.2.50	Cyanidin 3-O-galactoside 2''-O-xylosyltransferase
2.4.2.51	Anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase
2.4.2.52	Triphosphoribosyl-dephospho-CoA synthase
2.4.2.53	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
2.4.2.54	Beta-ribofuranosylphenol 5'-phosphate synthase
2.4.2.55	Nicotinate D-ribonucleotide:phenol phospho-D-ribosyltransferase
2.4.2.56	Kaempferol 3-O-xylosyltransferase
2.4.2.57	AMP phosphorylase
2.4.99.1	Beta-galactoside alpha-2,6-sialyltransferase
2.4.99.2	Monosialoganglioside sialyltransferase
2.4.99.3	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase
2.4.99.4	Beta-galactoside alpha-2,3-sialyltransferase
2.4.99.5	Galactosyldiacylglycerol alpha-2,3-sialyltransferase
2.4.99.6	N-acetyllactosaminide alpha-2,3-sialyltransferase
2.4.99.7	6-alpha-sialyltransferase
2.4.99.8	Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase
2.4.99.9	Lactosylceramide alpha-2,3-sialyltransferase
2.4.99.10	Neolactotetraosylceramide alpha-2,3-sialyltransferase
2.4.99.11	Lactosylceramide alpha-2,6-N-sialyltransferase
2.4.99.12	Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.13	(Kdo)-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.14	(Kdo)(2)-lipid IV(A) (2-8) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.15	(Kdo)(3)-lipid IV(A) (2-4) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.16	Starch synthase (maltosyl-transferring)
2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
2.4.99.18	Dolichyl-diphosphooligosaccharide--protein glycotransferase
2.4.99.19	Undecaprenyl-diphosphooligosaccharide--protein glycotransferase
2.4.99.20	2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase
2.4.99.21	Dolichyl-phosphooligosaccharide-protein glycotransferase
2.5.1.1	Dimethylallyltranstransferase
2.5.1.2	Thiamine pyridinylase
2.5.1.3	Thiamine phosphate synthase
2.5.1.4	Adenosylmethionine cyclotransferase
2.5.1.5	Galactose-6-sulfurylase
2.5.1.6	Methionine adenosyltransferase
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2.5.1.8	Transferred entry: 2.5.1.75
2.5.1.9	Riboflavin synthase
2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
2.5.1.11	Transferred entry: 2.5.1.84 and 2.5.1.85
2.5.1.12	Transferred entry: 2.5.1.18
2.5.1.13	Transferred entry: 2.5.1.18
2.5.1.14	Transferred entry: 2.5.1.18
2.5.1.15	Dihydropteroate synthase
2.5.1.16	Spermidine synthase
2.5.1.17	Cob(I)yrinic acid a,c-diamide adenosyltransferase
2.5.1.18	Glutathione transferase
2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase
2.5.1.20	Rubber cis-polyprenylcistransferase
2.5.1.21	Squalene synthase
2.5.1.22	Spermine synthase
2.5.1.23	Sym-norspermidine synthase
2.5.1.24	Discadenine synthase
2.5.1.25	tRNA-uridine aminocarboxypropyltransferase
2.5.1.26	Alkylglycerone-phosphate synthase
2.5.1.27	Adenylate dimethylallyltransferase (AMP-dependent)
2.5.1.28	Dimethylallylcistransferase
2.5.1.29	Geranylgeranyl diphosphate synthase
2.5.1.30	Heptaprenyl diphosphate synthase
2.5.1.31	diphosphate specific)
2.5.1.32	15-cis-phytoene synthase
2.5.1.33	Transferred entry: 2.5.1.82 and 2.5.1.83
2.5.1.34	4-dimethylallyltryptophan synthase
2.5.1.35	Aspulvinone dimethylallyltransferase
2.5.1.36	Trihydroxypterocarpan dimethylallyltransferase
2.5.1.37	Transferred entry: 4.4.1.20
2.5.1.38	Isonocardicin synthase
2.5.1.39	4-hydroxybenzoate polyprenyltransferase
2.5.1.40	Transferred entry: 4.2.3.9
2.5.1.41	Phosphoglycerol geranylgeranyltransferase
2.5.1.42	Geranylgeranylglycerol-phosphate geranylgeranyltransferase
2.5.1.43	Nicotianamine synthase
2.5.1.44	Homospermidine synthase
2.5.1.45	Homospermidine synthase (spermidine-specific)
2.5.1.46	Deoxyhypusine synthase
2.5.1.47	Cysteine synthase
2.5.1.48	Cystathionine gamma-synthase
2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase
2.5.1.50	Zeatin 9-aminocarboxyethyltransferase
2.5.1.51	Beta-pyrazolylalanine synthase
2.5.1.52	L-mimosine synthase
2.5.1.53	Uracilylalanine synthase
2.5.1.54	3-deoxy-7-phosphoheptulonate synthase
2.5.1.55	3-deoxy-8-phosphooctulonate synthase
2.5.1.56	N-acetylneuraminate synthase
2.5.1.57	N-acylneuraminate-9-phosphate synthase
2.5.1.58	Protein farnesyltransferase
2.5.1.59	Protein geranylgeranyltransferase type I
2.5.1.60	Protein geranylgeranyltransferase type II
2.5.1.61	Hydroxymethylbilane synthase
2.5.1.62	Chlorophyll synthase
2.5.1.63	Adenosyl-fluoride synthase
2.5.1.64	Transferred entry: 2.2.1.9 and 4.2.99.20
2.5.1.65	O-phosphoserine sulfhydrylase
2.5.1.66	N(2)-(2-carboxyethyl)arginine synthase
2.5.1.67	Chrysanthemyl diphosphate synthase
2.5.1.68	(2Z,6E)-farnesyl diphosphate synthase
2.5.1.69	Lavandulyl diphosphate synthase
2.5.1.70	Naringenin 8-dimethylallyltransferase
2.5.1.71	Leachianone-G 2''-dimethylallyltransferase
2.5.1.72	Quinolinate synthase
2.5.1.73	O-phospho-L-seryl-tRNA:Cys-tRNA synthase
2.5.1.74	1,4-dihydroxy-2-naphthoate polyprenyltransferase
2.5.1.75	tRNA dimethylallyltransferase
2.5.1.76	Cysteate synthase
2.5.1.77	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase
2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase
2.5.1.79	Thermospermine synthase
2.5.1.80	7-dimethylallyltryptophan synthase
2.5.1.81	Geranylfarnesyl diphosphate synthase
2.5.1.82	Hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific)
2.5.1.83	Hexaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
2.5.1.84	All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
2.5.1.85	specific)
2.5.1.86	Trans,polycis-decaprenyl diphosphate synthase
2.5.1.87	diphosphate specific)
2.5.1.88	diphosphate specific)
2.5.1.89	diphosphate specific)
2.5.1.90	All-trans-octaprenyl-diphosphate synthase
2.5.1.91	All-trans-decaprenyl-diphosphate synthase
2.5.1.92	(2Z,6Z)-farnesyl diphosphate synthase
2.5.1.93	4-hydroxybenzoate geranyltransferase
2.5.1.94	Adenosyl-chloride synthase
2.5.1.95	Xanthan pyruvate transferase
2.5.1.96	4,4'-diapophytoene synthase
2.5.1.97	Pseudaminic acid synthase
2.5.1.98	transferase
2.5.1.99	All-trans-phytoene synthase
2.5.1.100	Fumigaclavine A dimethylallyltransferase
2.5.1.101	N,N'-diacetyllegionaminate synthase
2.5.1.102	Geranylpyrophosphate--olivetolic acid geranyltransferase
2.5.1.103	Presqualene diphosphate synthase
2.5.1.104	N(1)-aminopropylagmatine synthase
2.5.1.105	5'-phosphate synthase
2.5.1.106	Tryprostatin B synthase
2.5.1.107	Verruculogen prenyltransferase
2.5.1.108	2-(3-amino-3-carboxypropyl)histidine synthase
2.5.1.109	Brevianamide F prenyltransferase (deoxybrevianamide E-forming)
2.5.1.110	12-alpha,13-alpha-dihydroxyfumitremorgin C prenyltransferase
2.5.1.111	4-hydroxyphenylpyruvate 3-dimethylallyltransferase
2.5.1.112	Adenylate dimethylallyltransferase (ADP/ATP-dependent)
2.5.1.113	synthase
2.5.1.114	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase
2.5.1.115	Homogentisate phytyltransferase
2.5.1.116	Homogentisate geranylgeranyltransferase
2.5.1.117	Homogentisate solanesyltransferase
2.5.1.118	Beta-(isoxazolin-5-on-2-yl)-L-alanine synthase
2.5.1.119	Beta-(isoxazolin-5-on-4-yl)-L-alanine synthase
2.5.1.120	Aminodeoxyfutalosine synthase
2.5.1.121	5,10-dihydrophenazine-1-carboxylate 9-dimethylallyltransferase
2.5.1.122	4-O-dimethylallyl-L-tyrosine synthase
2.5.1.123	Flaviolin linalyltransferase
2.5.1.124	6-linalyl-2-O,3-dimethylflaviolin synthase
2.5.1.125	7-geranyloxy-5-hydroxy-2-methoxy-3-methylnaphthalene-1,4-dione synthase
2.5.1.126	Norspermine synthase
2.5.1.127	Caldopentamine synthase
2.5.1.128	N(4)-bis(aminopropyl)spermidine synthase
2.5.1.129	Flavin prenyltransferase
2.5.1.130	2-carboxy-1,4-naphthoquinone phytyltransferase
2.5.1.131	yl)methanamine synthase
2.6.1.1	Aspartate transaminase
2.6.1.2	Alanine transaminase
2.6.1.3	Cysteine transaminase
2.6.1.4	Glycine transaminase
2.6.1.5	Tyrosine transaminase
2.6.1.6	Leucine transaminase
2.6.1.7	Kynurenine--oxoglutarate transaminase
2.6.1.8	2,5-diaminovalerate transaminase
2.6.1.9	Histidinol-phosphate transaminase
2.6.1.10	Transferred entry: 2.6.1.21
2.6.1.11	Acetylornithine transaminase
2.6.1.12	Alanine--oxo-acid transaminase
2.6.1.13	Ornithine aminotransferase
2.6.1.14	Asparagine--oxo-acid transaminase
2.6.1.15	Glutamine--pyruvate transaminase
2.6.1.16	Glutamine--fructose-6-phosphate transaminase (isomerizing)
2.6.1.17	Succinyldiaminopimelate transaminase
2.6.1.18	Beta-alanine--pyruvate transaminase
2.6.1.19	4-aminobutyrate--2-oxoglutarate transaminase
2.6.1.20	Deleted entry
2.6.1.21	D-amino-acid transaminase
2.6.1.22	(S)-3-amino-2-methylpropionate transaminase
2.6.1.23	4-hydroxyglutamate transaminase
2.6.1.24	Diiodotyrosine transaminase
2.6.1.25	Transferred entry: 2.6.1.24
2.6.1.26	Thyroid-hormone transaminase
2.6.1.27	Tryptophan transaminase
2.6.1.28	Tryptophan--phenylpyruvate transaminase
2.6.1.29	Diamine transaminase
2.6.1.30	Pyridoxamine--pyruvate transaminase
2.6.1.31	Pyridoxamine--oxaloacetate transaminase
2.6.1.32	Valine--3-methyl-2-oxovalerate transaminase
2.6.1.33	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
2.6.1.34	UDP-N-acetylbacillosamine transaminase
2.6.1.35	Glycine--oxaloacetate transaminase
2.6.1.36	L-lysine 6-transaminase
2.6.1.37	2-aminoethylphosphonate--pyruvate transaminase
2.6.1.38	Histidine transaminase
2.6.1.39	2-aminoadipate transaminase
2.6.1.40	(R)-3-amino-2-methylpropionate--pyruvate transaminase
2.6.1.41	D-methionine--pyruvate transaminase
2.6.1.42	Branched-chain-amino-acid transaminase
2.6.1.43	Aminolevulinate transaminase
2.6.1.44	Alanine--glyoxylate transaminase
2.6.1.45	Serine--glyoxylate transaminase
2.6.1.46	Diaminobutyrate--pyruvate transaminase
2.6.1.47	Alanine--oxomalonate transaminase
2.6.1.48	5-aminovalerate transaminase
2.6.1.49	Dihydroxyphenylalanine transaminase
2.6.1.50	Glutamine--scyllo-inositol transaminase
2.6.1.51	Serine--pyruvate transaminase
2.6.1.52	Phosphoserine transaminase
2.6.1.53	Transferred entry: 1.4.1.13
2.6.1.54	Pyridoxamine-phosphate transaminase
2.6.1.55	Taurine--2-oxoglutarate transaminase
2.6.1.56	1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol transaminase
2.6.1.57	Aromatic-amino-acid transaminase
2.6.1.58	Phenylalanine(histidine) transaminase
2.6.1.59	dTDP-4-amino-4,6-dideoxygalactose transaminase
2.6.1.60	Aromatic-amino-acid--glyoxylate transaminase
2.6.1.61	Transferred entry: 2.6.1.40
2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate transaminase
2.6.1.63	Kynurenine--glyoxylate transaminase
2.6.1.64	Glutamine--phenylpyruvate transaminase
2.6.1.65	N(6)-acetyl-beta-lysine transaminase
2.6.1.66	Valine--pyruvate transaminase
2.6.1.67	2-aminohexanoate transaminase
2.6.1.68	Ornithine(lysine) transaminase
2.6.1.69	Deleted entry
2.6.1.70	Aspartate--phenylpyruvate transaminase
2.6.1.71	Lysine--pyruvate 6-transaminase
2.6.1.72	D-4-hydroxyphenylglycine transaminase
2.6.1.73	Methionine--glyoxylate transaminase
2.6.1.74	Cephalosporin-C transaminase
2.6.1.75	Cysteine-conjugate transaminase
2.6.1.76	Diaminobutyrate--2-oxoglutarate transaminase
2.6.1.77	Taurine--pyruvate aminotransferase
2.6.1.78	Aspartate--prephenate aminotransferase
2.6.1.79	Glutamate--prephenate aminotransferase
2.6.1.80	Nicotianamine aminotransferase
2.6.1.81	Succinylornithine transaminase
2.6.1.82	Putrescine aminotransferase
2.6.1.83	LL-diaminopimelate aminotransferase
2.6.1.84	Arginine--pyruvate transaminase
2.6.1.85	Aminodeoxychorismate synthase
2.6.1.86	2-amino-4-deoxychorismate synthase
2.6.1.87	UDP-4-amino-4-deoxy-L-arabinose aminotransferase
2.6.1.88	Methionine transaminase
2.6.1.89	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase
2.6.1.90	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
2.6.1.91	Transferred entry: 2.6.1.34
2.6.1.92	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
2.6.1.93	Neamine transaminase
2.6.1.94	2'-deamino-2'-hydroxyneamine transaminase
2.6.1.95	Neomycin C transaminase
2.6.1.96	4-aminobutyrate--pyruvate transaminase
2.6.1.97	Archaeosine synthase
2.6.1.98	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase
2.6.1.99	L-tryptophan--pyruvate aminotransferase
2.6.1.100	L-glutamine:2-deoxy-scyllo-inosose aminotransferase
2.6.1.101	L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase
2.6.1.102	GDP-perosamine synthase
2.6.1.103	(S)-3,5-dihydroxyphenylglycine transaminase
2.6.1.104	3-dehydro-glucose-6-phosphate--glutamate transaminase
2.6.1.105	Lysine--8-amino-7-oxononanoate transaminase
2.6.1.106	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
2.6.1.107	Beta-methylphenylalanine transaminase
2.6.1.108	(5-formylfuran-3-yl)methyl phosphate transaminase
2.6.1.109	8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase
2.6.2.1	Transferred entry: 2.1.4.1
2.6.3.1	Oximinotransferase
2.6.99.1	dATP(dGTP)--DNA purinetransferase
2.6.99.2	Pyridoxine 5'-phosphate synthase
2.6.99.3	O-ureido-L-serine synthase
2.6.99.4	Transferred entry: 2.3.1.234
2.7.1.1	Hexokinase
2.7.1.2	Glucokinase
2.7.1.3	Ketohexokinase
2.7.1.4	Fructokinase
2.7.1.5	Rhamnulokinase
2.7.1.6	Galactokinase
2.7.1.7	Mannokinase
2.7.1.8	Glucosamine kinase
2.7.1.9	Deleted entry
2.7.1.10	Phosphoglucokinase
2.7.1.11	6-phosphofructokinase
